Datetime,Temperature
6/16/2024 1:00,13.9
6/16/2024 2:00,13.8
6/16/2024 3:00,13.2
6/16/2024 4:00,13.4
6/16/2024 5:00,14.4
6/16/2024 6:00,15.4
6/16/2024 7:00,16.4
6/16/2024 8:00,15.9
6/16/2024 9:00,16.4
6/16/2024 10:00,17.6
6/16/2024 11:00,16.7
6/16/2024 12:00,18.7
6/16/2024 13:00,19.2
6/16/2024 14:00,18.5
6/16/2024 15:00,20
6/16/2024 16:00,18.9
6/16/2024 17:00,18.3
6/16/2024 18:00,17.1
6/16/2024 19:00,16.5
6/16/2024 20:00,16.1
6/16/2024 21:00,14.9
6/16/2024 22:00,15.5
6/16/2024 23:00,14.9
6/17/2024 0:00,15.4
